21	0.00|1.00	0.00|1.00|0.00	0.29|0.71|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.24|0.76	0.67|0.33	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
22	0.00|1.00	0.00|1.00|0.00	0.29|0.71|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.33|0.67	0.71|0.29	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
23	0.00|1.00	0.00|1.00|0.00	0.05|0.95|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.38|0.62	0.48|0.52	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
24	0.00|1.00	0.00|1.00|0.00	0.05|0.95|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.43|0.57	0.57|0.43	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
25	0.00|1.00	0.00|1.00|0.00	0.05|0.95|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.57|0.43	0.76|0.24	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
26	0.00|1.00	0.00|1.00|0.00	0.14|0.86|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.43|0.57	0.71|0.29	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
27	0.00|1.00	0.00|1.00|0.00	0.29|0.71|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.48|0.52	0.76|0.24	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
28	0.00|1.00	0.00|1.00|0.00	0.29|0.67|0.05	0.00|1.00|0.00	0.00|1.00|0.00	0.52|0.48	0.76|0.24	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
29	0.00|1.00	0.00|1.00|0.00	0.14|0.81|0.05	0.00|1.00|0.00	0.00|1.00|0.00	0.52|0.48	0.52|0.48	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
30	0.00|1.00	0.00|1.00|0.00	0.19|0.76|0.05	0.00|1.00|0.00	0.00|1.00|0.00	0.57|0.43	0.48|0.52	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
31	0.00|1.00	0.00|1.00|0.00	0.19|0.81|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.62|0.38	0.29|0.71	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
32	0.00|1.00	0.00|1.00|0.00	0.10|0.90|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.62|0.38	0.14|0.86	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
33	0.00|1.00	0.00|1.00|0.00	0.10|0.90|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.62|0.38	0.10|0.90	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
34	0.00|1.00	0.00|1.00|0.00	0.19|0.81|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.57|0.43	0.00|1.00	0.00|1.00|0.00	0.00|0.95|0.05	0.00|1.00	
35	0.00|1.00	0.00|1.00|0.00	0.29|0.71|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.71|0.29	0.00|1.00	0.00|1.00|0.00	0.00|0.90|0.10	0.00|1.00	
36	0.00|1.00	0.00|1.00|0.00	0.24|0.76|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.76|0.24	0.00|1.00	0.00|1.00|0.00	0.00|0.95|0.05	0.00|1.00	
37	0.00|1.00	0.00|1.00|0.00	0.24|0.76|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.86|0.14	0.00|1.00	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
38	0.00|1.00	0.00|1.00|0.00	0.29|0.71|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.86|0.14	0.00|1.00	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
39	0.00|1.00	0.00|1.00|0.00	0.05|0.95|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.90|0.10	0.00|1.00	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
40	0.00|1.00	0.00|1.00|0.00	0.10|0.90|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.90|0.10	0.00|1.00	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
41	0.00|1.00	0.00|1.00|0.00	0.14|0.86|0.00	0.00|1.00|0.00	0.00|1.00|0.00	0.95|0.05	0.00|1.00	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
42	0.00|1.00	0.00|1.00|0.00	0.24|0.76|0.00	0.00|1.00|0.00	0.00|1.00|0.00	1.00|0.00	0.00|1.00	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
43	0.00|1.00	0.00|1.00|0.00	0.19|0.81|0.00	0.00|1.00|0.00	0.00|1.00|0.00	1.00|0.00	0.00|1.00	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
44	0.00|1.00	0.00|1.00|0.00	0.10|0.90|0.00	0.00|1.00|0.00	0.00|1.00|0.00	1.00|0.00	0.00|1.00	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
45	0.00|1.00	0.00|1.00|0.00	0.10|0.90|0.00	0.00|1.00|0.00	0.00|0.95|0.05	1.00|0.00	0.00|1.00	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
46	0.00|1.00	0.00|1.00|0.00	0.19|0.81|0.00	0.00|1.00|0.00	0.00|0.95|0.05	1.00|0.00	0.00|1.00	0.00|1.00|0.00	0.00|1.00|0.00	0.00|1.00	
